법정동코드,center_point,경도,위도,법정동명,level,sd_cd,sd_nm,sgg_cd,sgg_nm,emd_cd,sgg_cnt,sgg_list
1100000000,POINT (126.99180562599334 37.55190324917),126.99180562599334,37.55190324917,서울특별시,0,11,서울특별시,11000,,11000000,25,"['서울특별시 종로구' '서울특별시 중구' '서울특별시 용산구' '서울특별시 성동구' '서울특별시 광진구' '서울특별시 동대문구'
 '서울특별시 중랑구' '서울특별시 성북구' '서울특별시 강북구' '서울특별시 도봉구' '서울특별시 노원구' '서울특별시 은평구'
 '서울특별시 서대문구' '서울특별시 마포구' '서울특별시 양천구' '서울특별시 강서구' '서울특별시 구로구' '서울특별시 금천구'
 '서울특별시 영등포구' '서울특별시 동작구' '서울특별시 관악구' '서울특별시 서초구' '서울특별시 강남구' '서울특별시 송파구'
 '서울특별시 강동구']"
1111000000,POINT (126.97732129487213 37.59491731931452),126.97732129487213,37.59491731931452,서울특별시 종로구,1,11,서울특별시,11110,종로구,11110000,0,
1114000000,POINT (126.99596813970754 37.56014356455128),126.99596813970754,37.56014356455128,서울특별시 중구,1,11,서울특별시,11140,중구,11140000,0,
1117000000,POINT (126.9799069882358 37.53138496588151),126.9799069882358,37.53138496588151,서울특별시 용산구,1,11,서울특별시,11170,용산구,11170000,0,
1120000000,POINT (127.04105853332118 37.551029689134424),127.04105853332118,37.551029689134424,서울특별시 성동구,1,11,서울특별시,11200,성동구,11200000,0,
1121500000,POINT (127.08574409768117 37.546720237931474),127.08574409768117,37.546720237931474,서울특별시 광진구,1,11,서울특별시,11215,광진구,11215000,0,
1123000000,POINT (127.05484812780756 37.581956547893036),127.05484812780756,37.581956547893036,서울특별시 동대문구,1,11,서울특별시,11230,동대문구,11230000,0,
1126000000,POINT (127.09288317629846 37.59781737992498),127.09288317629846,37.59781737992498,서울특별시 중랑구,1,11,서울특별시,11260,중랑구,11260000,0,
1129000000,POINT (127.01757949116805 37.605701902396824),127.01757949116805,37.605701902396824,서울특별시 성북구,1,11,서울특별시,11290,성북구,11290000,0,
1130500000,POINT (127.0111889752399 37.64347391355864),127.0111889752399,37.64347391355864,서울특별시 강북구,1,11,서울특별시,11305,강북구,11305000,0,
1132000000,POINT (127.03236881955814 37.66910208028845),127.03236881955814,37.66910208028845,서울특별시 도봉구,1,11,서울특별시,11320,도봉구,11320000,0,
1135000000,POINT (127.07503686649142 37.65251032306269),127.07503686649142,37.65251032306269,서울특별시 노원구,1,11,서울특별시,11350,노원구,11350000,0,
1138000000,POINT (126.92702287719973 37.61921128257489),126.92702287719973,37.61921128257489,서울특별시 은평구,1,11,서울특별시,11380,은평구,11380000,0,
1141000000,POINT (126.93906309571523 37.577785309169954),126.93906309571523,37.577785309169954,서울특별시 서대문구,1,11,서울특별시,11410,서대문구,11410000,0,
1144000000,POINT (126.90827002744956 37.55931349255405),126.90827002744956,37.55931349255405,서울특별시 마포구,1,11,서울특별시,11440,마포구,11440000,0,
1147000000,POINT (126.85547766023458 37.524789410208285),126.85547766023458,37.524789410208285,서울특별시 양천구,1,11,서울특별시,11470,양천구,11470000,0,
1150000000,POINT (126.82280668970552 37.561235428012274),126.82280668970552,37.561235428012274,서울특별시 강서구,1,11,서울특별시,11500,강서구,11500000,0,
1153000000,POINT (126.85630057897222 37.49440542856186),126.85630057897222,37.49440542856186,서울특별시 구로구,1,11,서울특별시,11530,구로구,11530000,0,
1154500000,POINT (126.90082024440927 37.46056756493177),126.90082024440927,37.46056756493177,서울특별시 금천구,1,11,서울특별시,11545,금천구,11545000,0,
1156000000,POINT (126.91016946737669 37.5223082885753),126.91016946737669,37.5223082885753,서울특별시 영등포구,1,11,서울특별시,11560,영등포구,11560000,0,
1159000000,POINT (126.9516414543837 37.498876876071876),126.9516414543837,37.498876876071876,서울특별시 동작구,1,11,서울특별시,11590,동작구,11590000,0,
1162000000,POINT (126.94533715305033 37.46737569058798),126.94533715305033,37.46737569058798,서울특별시 관악구,1,11,서울특별시,11620,관악구,11620000,0,
1165000000,POINT (127.03122031111438 37.47329546734596),127.03122031111438,37.47329546734596,서울특별시 서초구,1,11,서울특별시,11650,서초구,11650000,0,
1168000000,POINT (127.06298520424792 37.49664389428779),127.06298520424792,37.49664389428779,서울특별시 강남구,1,11,서울특별시,11680,강남구,11680000,0,
1171000000,POINT (127.11529503972389 37.50561924154445),127.11529503972389,37.50561924154445,서울특별시 송파구,1,11,서울특별시,11710,송파구,11710000,0,
1174000000,POINT (127.14701184176552 37.5504502432305),127.14701184176552,37.5504502432305,서울특별시 강동구,1,11,서울특별시,11740,강동구,11740000,0,
2600000000,POINT (129.0603875423206 35.201609536900584),129.0603875423206,35.201609536900584,부산광역시,0,26,부산광역시,26000,,26000000,16,"['부산광역시 중구' '부산광역시 서구' '부산광역시 동구' '부산광역시 영도구' '부산광역시 부산진구' '부산광역시 동래구'
 '부산광역시 남구' '부산광역시 북구' '부산광역시 해운대구' '부산광역시 사하구' '부산광역시 금정구' '부산광역시 강서구'
 '부산광역시 연제구' '부산광역시 수영구' '부산광역시 사상구' '부산광역시 기장군']"
2611000000,POINT (129.03231145034638 35.10563635277929),129.03231145034638,35.10563635277929,부산광역시 중구,1,26,부산광역시,26110,중구,26110000,0,
2614000000,POINT (129.01491326262715 35.10295785971812),129.01491326262715,35.10295785971812,부산광역시 서구,1,26,부산광역시,26140,서구,26140000,0,
2617000000,POINT (129.04458557911178 35.129186316952264),129.04458557911178,35.129186316952264,부산광역시 동구,1,26,부산광역시,26170,동구,26170000,0,
2620000000,POINT (129.06482328776696 35.0786499762093),129.06482328776696,35.0786499762093,부산광역시 영도구,1,26,부산광역시,26200,영도구,26200000,0,
2623000000,POINT (129.0430603409617 35.16524411040766),129.0430603409617,35.16524411040766,부산광역시 부산진구,1,26,부산광역시,26230,부산진구,26230000,0,
2626000000,POINT (129.07922008699734 35.20621244135104),129.07922008699734,35.20621244135104,부산광역시 동래구,1,26,부산광역시,26260,동래구,26260000,0,
2629000000,POINT (129.09430684945312 35.12554764750397),129.09430684945312,35.12554764750397,부산광역시 남구,1,26,부산광역시,26290,남구,26290000,0,
2632000000,POINT (129.02346325575644 35.22924789232073),129.02346325575644,35.22924789232073,부산광역시 북구,1,26,부산광역시,26320,북구,26320000,0,
2635000000,POINT (129.1535899895856 35.19385512386304),129.1535899895856,35.19385512386304,부산광역시 해운대구,1,26,부산광역시,26350,해운대구,26350000,0,
2638000000,POINT (128.97380766524307 35.08887911580299),128.97380766524307,35.08887911580299,부산광역시 사하구,1,26,부산광역시,26380,사하구,26380000,0,
2641000000,POINT (129.0915287443504 35.25889374529874),129.0915287443504,35.25889374529874,부산광역시 금정구,1,26,부산광역시,26410,금정구,26410000,0,
2644000000,POINT (128.89240063276233 35.13834787362375),128.89240063276233,35.13834787362375,부산광역시 강서구,1,26,부산광역시,26440,강서구,26440000,0,
2647000000,POINT (129.08293526714792 35.182417980427175),129.08293526714792,35.182417980427175,부산광역시 연제구,1,26,부산광역시,26470,연제구,26470000,0,
2650000000,POINT (129.11120171810248 35.161307535009165),129.11120171810248,35.161307535009165,부산광역시 수영구,1,26,부산광역시,26500,수영구,26500000,0,
2653000000,POINT (128.9865923735508 35.158030968924145),128.9865923735508,35.158030968924145,부산광역시 사상구,1,26,부산광역시,26530,사상구,26530000,0,
2671000000,POINT (129.2009559930802 35.2980116551923),129.2009559930802,35.2980116551923,부산광역시 기장군,1,26,부산광역시,26710,기장군,26710000,0,
2700000000,POINT (128.59917423819087 35.96946841259647),128.59917423819087,35.96946841259647,대구광역시,0,27,대구광역시,27000,,27000000,9,"['대구광역시 중구' '대구광역시 동구' '대구광역시 서구' '대구광역시 남구' '대구광역시 북구' '대구광역시 수성구'
 '대구광역시 달서구' '대구광역시 달성군' '대구광역시 군위군']"
2711000000,POINT (128.5936058298973 35.866535287078875),128.5936058298973,35.866535287078875,대구광역시 중구,1,27,대구광역시,27110,중구,27110000,0,
2714000000,POINT (128.6856599198781 35.93442632696466),128.6856599198781,35.93442632696466,대구광역시 동구,1,27,대구광역시,27140,동구,27140000,0,
2717000000,POINT (128.54969760013887 35.87500167012131),128.54969760013887,35.87500167012131,대구광역시 서구,1,27,대구광역시,27170,서구,27170000,0,
2720000000,POINT (128.58532962764704 35.835177156626415),128.58532962764704,35.835177156626415,대구광역시 남구,1,27,대구광역시,27200,남구,27200000,0,
